Transaction_ID,Day_name,Brand,Units_Sold,Price_Per_Unit,Customer_Name,Customer_Age,City,Payment_Method,Customer_Ratings,Mobile_Model,Sales_Date
1,Saturday,Xiaomi,6,10174.7,Mehwish Siddiqui,38,Sukkur,Easypaisa,5,Redmi Note 10,10/9/2021
2,Saturday,Vivo,6,10565.19,Amna Aziz,37,Islamabad,Credit Card,3,Vivo Y51,10/9/2021
3,Saturday,Vivo,8,58527.58,Laiba Bhutto,40,Karachi,Easypaisa,5,Vivo S1,10/9/2021
4,Sunday,Xiaomi,5,25563.98,Laiba Iqbal,21,Karachi,Credit Card,4,Mi 11,10/10/2021
5,Sunday,OnePlus,3,48168.02,Sobia Hashmi,38,Sheikhupura,Cash,5,OnePlus 9,10/10/2021
6,Sunday,Samsung,3,37252.87,Nimra Aziz,38,Mardan,Easypaisa,3,Galaxy Note 20,10/10/2021
7,Sunday,OnePlus,6,61805.8,Faisal Baloch,18,Islamabad,Cash,4,OnePlus Nord,10/10/2021
8,Monday,Apple,2,65017.67,Babar Lodhi,32,Abbottabad,Cash,3,iPhone 12,10/11/2021
9,Monday,Vivo,6,69808.46,Hassan Leghari,34,Islamabad,Easypaisa,5,Vivo Y51,10/11/2021
10,Monday,Samsung,6,19221.05,Yasmin Riaz,31,Karachi,JazzCash,2,Galaxy A51,10/11/2021
11,Tuesday,Samsung,8,61777.84,Parveen Mirza,36,Gujrat,Credit Card,5,Galaxy A51,10/12/2021
12,Tuesday,Apple,7,25961.28,Aisha Chaudhry,51,Islamabad,Easypaisa,4,iPhone 12,10/12/2021
13,Tuesday,Apple,8,45448.95,Nimra Kazmi,23,Karachi,Cash,5,iPhone 12,10/12/2021
14,Wednesday,Xiaomi,9,40346.37,Mariam Javed,23,Rawalpindi,Credit Card,2,Redmi Note 10,10/13/2021
15,Wednesday,Vivo,6,11079.29,Iqra Farooq,22,Faisalabad,Cash,5,Vivo V20,10/13/2021
16,Wednesday,Vivo,3,65966.28,Asad Butt,24,Karachi,Credit Card,2,Vivo Y51,10/13/2021
17,Thursday,OnePlus,3,14699.62,Omar Ali,50,Sahiwal,Easypaisa,4,OnePlus Nord,10/14/2021
18,Thursday,Xiaomi,1,51293.14,Majid Niazi,30,Islamabad,Cash,3,Redmi Note 10,10/14/2021
19,Thursday,Xiaomi,5,57100.41,Asad Qureshi,18,Karachi,Credit Card,4,Redmi Note 10,10/14/2021
20,Thursday,Xiaomi,4,57717.27,Tahir Paracha,30,Karachi,Credit Card,5,Redmi Note 10,10/14/2021
21,Friday,Xiaomi,9,18129.67,Fahad Hashmi,44,Sahiwal,Easypaisa,4,Mi 11,10/15/2021
22,Friday,Vivo,9,36854.2,Noor Bhutto,24,Abbottabad,Credit Card,5,Vivo S1,10/15/2021
